Dataset,IS LITE == DEHB,same,Separator,Type,Raw,Intrinsic,DRR = 1 - (I/R),DRR vs Agrawal,IS LITE == DEHB
SS-A,,,,,3,1,0.667,,
SS-C,,,,,3,1,0.667,,
